text,label
你这个老太婆太坏良心，大大的坏了，我不爱看你,1
这不是很多女人正在经历的吗 怎么变成男人了就委屈了 恶心,1
倒插门就相当于男的嫁到女方家里了，按照女嫁男的规矩，倒插门随女姓好像也没什么问题，如果男方不能接受，结婚前就应该拒绝，不要给女方机会羞辱的机会，只能说活该！,1
这个老太婆好讨厌，一次次的不悔改,1
这死老太婆坏坏的,1
狗改不了吃屎的,1
这死老太婆是信不改讨厌恶心是了,1
老太婆太可恶了,1
老太婆太坏了。这个老太婆太坏了。不是，今生的就是这样，心太坏。,1
这老太婆太恶毒了 ，不知好歹的东西 ，给你良心当狗肺,1
恋爱脑最终的下场，一句活该送出最美好的祝福,1
男人不能这样软弱，,1
这个小伙不能有尊严，人家没让你更名改姓就很不错了就连生了孩子也要随女方的姓，因为你无能无能又无能。,1
该死的老太婆！,1
说出来丢脸,1
活该呗,1
有志气的男人绝对也不稀罕你这点东西，如果男的答应了你的这些要求证明这个男人也是半个废物,1
老演员了这老婆子,1
这么偏心的妈妈宁愿不要，这样对小雪，等老太婆有病痛的时候别理她，让她自生自灭去？,1
这个死老太婆是在作死呢！不止一次的损女婿，补能给她养老了，赶她走！,1
这样的男人活着好窝囊，离开他家可能就玩不转了，要是我的话，那个桌子我都掀了，我回老家了，这样不心痛男人的老婆要了也没用,1
这老太婆真不是东西,1
什么样的家庭教育出这么个东西出来丢人现眼,1
倒插门只有一个下场，蹲着吃饭，站着拉屎,1
帅哥，离开这个老太婆家，老婆娘，你自己就生过儿子，,1
这个阿斌被老太婆都气病了,1
兄弟你是为了拍视频而炒作吗？还是你自愿被这样折磨窝囊，作为一个男人只能说还是第一次看见这样的男人，比女人还女人，不好听的一句话男人的脸面丢尽了,1
支持父母做得对，二十年也不回来看下父母，还有脸回来分财产，一分都没有，不孝子活该。,1
美做得对∴你和老公才是公正你老吗有能力自己生一个儿丰看一下只有分家你的妹不要高兴太早三穷三福不到老小心处报应,1
这样的好女婿，哪里找一天到晚做什么事都不如你这个老婆子意？,1
老太婆不是人。,1
老太婆，心太坏了,1
恶毒的老太婆不是人猪狗,1
说那些你不打他？真窝囊，取关了。,1
打死老子都当穷汉人的女婿,1
恶毒丈母娘，没有最坚强！,1
老太婆 太坏了,1
上门女婿，最窝囊,1
搬出去住，不要跟这个老太婆住，看到这老太婆就烦,1
真恶心,1
这个老太婆的心给狗吃了,1
知道丢人不会不当？,1
这样的人该死,1
死老太婆太坏了还心不好。,1
母老虎丈母娘谁能和这样的人一起生活,1
本来老母老虎老是拍恶人打人精,1
这样的男人活该受气。,1
真的是窝囊废，他老婆说的不错有这样老婆还在那粘着在那哭不是窝囊废是什么？有这样老婆有骨气就离开她，一个大男人有手有脚怕饿死？,1
这种人。不要了，狗改不了吃屎。,1
活该老女人滚 Ծ‸Ծ,1
这个老太婆太坏了,1
26 岁，171，身体健康，五官端正， 高中学历，月薪 9000，原因：妈不着家，个人无能,1
早该离婚，你真够窝囊的,1
活该，没男人致气！,1
老太婆心眼不正打肉吃完了。,1
上门女婿，日子久了，妻子都看不起你，到头来，给女方家做长期劳工，人财两空，一辈子抹不去的耻辱。,1
你这个死老太婆，自己生不出儿子，找了个这么好的上门女婿，还不珍惜,1
快快跑出门去，不要在老太婆一起过，早晚耍气S人的，宁要一个人过生活。,1
这婚结了没意思。看着那女的我都恶心,1
恶心死了,1
狗改不了吃屎,1
我是男的，我觉得好丢脸,1
窝囊，没眼色，没骨气，没能力,1
兄弟怪你无能啊！,1
这样老太婆难怪生不出儿子儿子敢在她家出生吗,1
不要再一棒子打死了，好讨厌这样的新闻，我老公来我家从来没有扫过一下地，洗过一个碗，过年他给他爸妈5000，给了我爸妈1000我爸妈都没拿，每次回家睡到中午十一二点，我爸妈说不要叫他让他多睡一会，全家人等着他起床吃饭，回家十天半个月寨上的人都见不到他一下，在家里窝着打游戏刷抖音睡觉，我们在外面上班，昨天还被他按在沙发上打了，起因是孩子哭闹，他要把娃送回老家，我不让，我想让孩子呆在我们身边，各种难听辱骂的话和打我那狰狞的表情我一辈子忘不了，就因为他来我家，所以我爸妈想方设法对他好，讨好他，骂我我忍，打我我也忍，如果现在离婚了，是不是所有人把矛头都会指向我和我的家人，所以，是非对错真的不重要，人们往往只看到了表面,1
老太婆要绝万代，没后人,1
无知无能才能上门,1
这个老太婆从没有演过什么好人，死老太婆,1
这个老太婆太坏了,1
你这老太婆真是高手在民间故事你有点坏到地,1
@ 这个死老太婆不要得老太婆不要得,1
活该她单身,1
母老虎一枚,1
不能原谅、狗改不了吃屎、,1
"首先。独生子这点确实挺可怜
但话说回来。既然决定去做上门女婿了。还争什么？这不是应该的吗？别人出了彩礼就是娶了你。怕丢人为什呢要收别人彩礼呢？让别人念你是独生子。那又为什么让独生子去做上门女婿呢？自己选的路不应该抱怨什么。",1
给老人丢人,1
恶毒的女人、会有报应,1
谈过一个大半年，希望我做上门女婿，彩礼600万，加全款独栋别墅，可以接我家人过去住，想一想就回绝了，很多原因，家庭经济收入相差过甚，这种致富真的觉得好丢脸，分手个把月再联系我，我就说了一句，切了也不会上门,1
老太婆，没脚还是没手，自己不会做饭吗？太偏心，以后不要拍这样的视频,1
家里两套房子，一套市区一套老家县城，一辆B级23年帕萨特，打死不上门。,1
这老太婆事多,1
这个老婆娘不是人。,1
这死老太婆好坏啊,1
这样看不人，连夜走人，还留在这里受窝囊气！,1
这个死老太婆不要管她，你们回婆家去,1
看到这个老太婆都讨厌,1
为什么非要做上门女婿呢？没本事就不结婚，一个人不能过吗？自己找罪受活该,1
好这母老虎，老公不发薇当病猫，这才是真真男人,1
好恶心呀吃别人的生日蛋糕🍰没有眼力见,1
死老太婆不得好死,1
太丢人了,1
我家就我一个 但我想入赘 我爸知道了会不会打死我,1
打死她,1
这还需要考虑？是多无能会想着去忍？,1
你这个老太婆良心大大坏了。,1
打死不上门,1
这老太婆死性不改，,1
这死老太婆真讨厌,1
这种打死了去,1
都说不能做上门女婿，但却觉得上门媳妇就很正常难道不该是一样的丢人？,1
老太婆你说话那么缺德   早知该叫你女子当妮姑,1
你自己活该,1
无能体现  父母更丢人,1
好样的打死她,1
老太婆别人对你儿子你怎么想,1
又刷到你了 这该死的魅力让我无法直视,1
真恶心,1
入赘一点都不丢人，头都抬不起,1
鼻孔这么小，我就想知道怎么抠鼻屎的🌚🌚🌚,1
老太婆平时的所做所为，实在太过分,1
这个死老太婆不得好死,1
狗改不了吃屎的！,1
那个男的是个窝囊废，这样的娘对你不好，还在那里干嘛？,1
这样的老太婆让她饿死了，应该,1
好恶心,1
真是给天下的女人丢脸呀，还是赶快让她滚蛋了算了吧，出去自生自灭了吧,1
倒插门不如打光棍，寄人篱下窝囊,1
这母女俩就一个样，活该,1
太恶毒了，老的时候不能动他也给方便面你吃。上慈下孝。,1
为什么生出女儿良心那么好:老太婆真没素质,1
我感觉入赘的门槛也挺高，俺这种秃头个矮没工作的窝囊废也赘不上一个，注孤生了,1
这老太婆还没有学会做人,1
