epochs,batch_size,lr,seed,precision,recall,f1-score,accuracy
4,8,1.00E-05,223,0.781848733,0.770712756,0.76514239,0.766824645
8,8,1.00E-05,223,0.778250666,0.766771994,0.760995524,0.762796209
8,32,1.00E-05,223,0.779947249,0.763862385,0.75662057,0.759241706
8,2,1.00E-05,223,0.773620545,0.756303589,0.748489851,0.751658768
8,4,1.00E-05,223,0.778586606,0.755826807,0.746088463,0.7507109
8,16,1.00E-05,223,0.774546876,0.754786095,0.745968376,0.75
4,16,1.00E-05,223,0.775164527,0.754709067,0.745568612,0.749763033
6,16,3.00E-05,223,0.768102205,0.748836438,0.740006866,0.743838863
2,8,3.00E-05,223,0.765455648,0.747236856,0.738605009,0.742654028
8,4,1.00E-05,223,0.767631098,0.747497175,0.738199894,0.742417062
2,8,5.00E-05,223,0.757129607,0.743777374,0.737346352,0.740521327
2,4,3.00E-05,223,0.766357728,0.743657616,0.733632235,0.738388626
4,16,3.00E-05,223,0.769652971,0.744156326,0.733071248,0.738625592
6,16,5.00E-05,223,0.764036012,0.742886781,0.732986213,0.737677725
4,8,3.00E-05,223,0.762397591,0.741600369,0.731512107,0.736729858
2,4,5.00E-05,223,0.756551158,0.739762396,0.731505521,0.73507109
6,8,3.00E-05,223,0.763634191,0.740133477,0.729243008,0.73507109
4,16,5.00E-05,223,0.764100538,0.740080626,0.729238108,0.734597156
6,4,3.00E-05,223,0.752497221,0.736544116,0.728485763,0.732227488
2,16,5.00E-05,223,0.760306711,0.736546928,0.725437309,0.731042654
6,8,5.00E-05,223,0.756695151,0.735045738,0.725087633,0.731042654
6,4,5.00E-05,223,0.751641035,0.7331864,0.724307086,0.728436019
8,2,1.00E-05,223,0.769415476,0.736874715,0.723353603,0.730805687
2,16,3.00E-05,223,0.766539566,0.736315846,0.722924752,0.730331754
6,2,5.00E-05,223,0.726572174,0.720325089,0.716328648,0.717772512
4,4,3.00E-05,223,0.763400037,0.727967098,0.712298013,0.721563981
2,2,3.00E-05,223,0.754260015,0.724765685,0.710597043,0.718720379
2,2,3.00E-05,223,0.754260015,0.724765685,0.710597043,0.718720379
6,2,3.00E-05,223,0.747892943,0.721369174,0.708539855,0.71563981
4,8,5.00E-05,223,0.745321966,0.715233977,0.700489461,0.709478673
4,4,5.00E-05,223,0.744596789,0.711093619,0.695517305,0.704265403
4,2,3.00E-05,223,0.742030649,0.708740069,0.692707654,0.702369668
4,2,5.00E-05,223,0.723473608,0.685500312,0.665231158,0.678199052
